epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,38456,1.70432,1.55554,1.38666,0.41719,0.39119,0.25408,0.1296,1.84899,2.19377,1.67855,0.00086659,0.00086659,0.00086659
99,38836.1,1.69402,1.54313,1.37643,0.42039,0.39992,0.25759,0.1298,1.84571,2.1422,1.66984,0.000858338,0.000858338,0.000858338
100,39212.8,1.69611,1.56248,1.39291,0.4314,0.40729,0.26301,0.12877,1.88099,2.17505,1.65648,0.000850087,0.000850087,0.000850087
101,39589.5,1.70348,1.56824,1.3949,0.40675,0.40253,0.25335,0.12907,1.86009,2.19337,1.65253,0.000841835,0.000841835,0.000841835
102,39966.6,1.69925,1.53521,1.37537,0.42284,0.40847,0.26194,0.13187,1.85877,2.19447,1.6599,0.000833583,0.000833583,0.000833583
103,40344.8,1.68406,1.52697,1.38036,0.41972,0.40619,0.2605,0.13136,1.86187,2.1413,1.66558,0.000825332,0.000825332,0.000825332
104,40719.6,1.69064,1.54158,1.39364,0.42329,0.39271,0.25699,0.12982,1.83486,2.12388,1.6622,0.00081708,0.00081708,0.00081708
105,41103.2,1.68942,1.52633,1.38638,0.4204,0.40504,0.25529,0.12718,1.85579,2.15736,1.66165,0.000808828,0.000808828,0.000808828
106,41478.7,1.67744,1.50071,1.37353,0.41209,0.40411,0.25522,0.12922,1.84269,2.1509,1.65417,0.000800577,0.000800577,0.000800577
107,41855.7,1.67217,1.5236,1.37032,0.42768,0.41049,0.26361,0.13432,1.833,2.10459,1.63429,0.000792325,0.000792325,0.000792325
108,42233.8,1.67925,1.51216,1.3809,0.42609,0.4088,0.25933,0.1311,1.83458,2.14984,1.64553,0.000784073,0.000784073,0.000784073
109,42614.7,1.6645,1.49127,1.37352,0.42761,0.41947,0.26424,0.13375,1.84926,2.16361,1.67896,0.000775822,0.000775822,0.000775822
110,42997.2,1.67738,1.49793,1.37484,0.42149,0.41401,0.26257,0.13304,1.83125,2.14211,1.64342,0.00076757,0.00076757,0.00076757
111,43391.4,1.66835,1.50805,1.37616,0.42401,0.40698,0.25908,0.13048,1.83759,2.16917,1.66192,0.000759318,0.000759318,0.000759318
112,43787.7,1.66683,1.46621,1.36606,0.42072,0.41516,0.26366,0.13334,1.86359,2.11411,1.65798,0.000751067,0.000751067,0.000751067
113,44180.9,1.66452,1.48799,1.3654,0.41254,0.41508,0.25796,0.13182,1.83035,2.1602,1.66762,0.000742815,0.000742815,0.000742815
114,44572.8,1.65816,1.48234,1.36476,0.4188,0.4134,0.26082,0.13315,1.82217,2.14005,1.64706,0.000734564,0.000734564,0.000734564
115,44970.3,1.66136,1.48864,1.37084,0.41775,0.41767,0.26526,0.13625,1.84169,2.13604,1.65193,0.000726312,0.000726312,0.000726312
116,45372.2,1.66471,1.49358,1.36213,0.4132,0.40582,0.2615,0.13331,1.8478,2.15371,1.67296,0.00071806,0.00071806,0.00071806
117,45785.7,1.67257,1.48079,1.36169,0.4191,0.41244,0.26307,0.13439,1.84777,2.15564,1.66019,0.000709809,0.000709809,0.000709809
118,46197.1,1.6684,1.4727,1.35884,0.417,0.40898,0.26009,0.13362,1.83831,2.13049,1.66109,0.000701557,0.000701557,0.000701557
119,46611.5,1.65329,1.45562,1.35962,0.42538,0.42081,0.26532,0.136,1.82763,2.13035,1.62884,0.000693305,0.000693305,0.000693305
120,47013.3,1.64999,1.46196,1.3599,0.42441,0.42007,0.26345,0.13491,1.84486,2.12309,1.68372,0.000685054,0.000685054,0.000685054
121,47421.1,1.63411,1.45547,1.34529,0.42369,0.4135,0.26589,0.13514,1.83091,2.10554,1.66591,0.000676802,0.000676802,0.000676802
122,47828.8,1.65168,1.45211,1.36467,0.41576,0.42232,0.26441,0.13478,1.84361,2.14893,1.65324,0.00066855,0.00066855,0.00066855
123,48216.6,1.65355,1.43433,1.35635,0.42948,0.4163,0.26615,0.13706,1.82796,2.14149,1.66972,0.000660299,0.000660299,0.000660299
124,48589.9,1.65408,1.45995,1.36836,0.41581,0.42052,0.26037,0.1327,1.82723,2.16218,1.65858,0.000652047,0.000652047,0.000652047
125,48977.6,1.62769,1.43449,1.34478,0.42303,0.40478,0.26025,0.13394,1.81655,2.1089,1.66364,0.000643795,0.000643795,0.000643795
126,49365.4,1.63678,1.42491,1.35231,0.41931,0.42496,0.26915,0.13551,1.85297,2.18786,1.68913,0.000635544,0.000635544,0.000635544
127,49761.7,1.64448,1.41966,1.35796,0.42803,0.41036,0.26723,0.1373,1.82492,2.14496,1.67249,0.000627292,0.000627292,0.000627292
128,50168.6,1.64256,1.44418,1.36081,0.42401,0.42015,0.26738,0.13766,1.82972,2.1253,1.66989,0.00061904,0.00061904,0.00061904
129,50568.5,1.63157,1.43475,1.35609,0.42306,0.42544,0.26746,0.13617,1.85687,2.10897,1.70204,0.000610789,0.000610789,0.000610789
130,50976.1,1.62656,1.42604,1.34894,0.42656,0.41004,0.26509,0.1374,1.81177,2.10103,1.67209,0.000602537,0.000602537,0.000602537
131,51369.7,1.61443,1.42451,1.34226,0.4211,0.41784,0.26712,0.13855,1.81544,2.13083,1.6739,0.000594286,0.000594286,0.000594286
132,51758.1,1.62382,1.40848,1.34519,0.41566,0.42234,0.26551,0.13724,1.82647,2.16557,1.70021,0.000586034,0.000586034,0.000586034
133,52164.5,1.61423,1.42394,1.33887,0.4154,0.42665,0.26805,0.13809,1.83927,2.16398,1.71298,0.000577782,0.000577782,0.000577782
134,52554.5,1.61537,1.40924,1.34525,0.42427,0.42075,0.26357,0.13599,1.81441,2.10089,1.66773,0.000569531,0.000569531,0.000569531
135,52950.8,1.60485,1.39982,1.33985,0.4274,0.42953,0.26976,0.13814,1.83284,2.11837,1.69794,0.000561279,0.000561279,0.000561279
136,53349.1,1.6117,1.40487,1.34537,0.42084,0.43062,0.27205,0.13926,1.83202,2.10229,1.68471,0.000553027,0.000553027,0.000553027
137,53739.3,1.62139,1.43205,1.35451,0.41116,0.43295,0.26971,0.13889,1.82497,2.16756,1.67562,0.000544776,0.000544776,0.000544776
138,54131.9,1.61138,1.41105,1.33708,0.42043,0.42031,0.26616,0.13716,1.82542,2.1265,1.68127,0.000536524,0.000536524,0.000536524
139,54528.5,1.5964,1.41004,1.34992,0.41722,0.42327,0.26659,0.13776,1.81597,2.11024,1.69589,0.000528272,0.000528272,0.000528272
140,54929.7,1.61669,1.40005,1.34515,0.41206,0.43775,0.26509,0.13672,1.83698,2.14143,1.70831,0.000520021,0.000520021,0.000520021
141,55332.9,1.60435,1.37402,1.33069,0.41937,0.43111,0.26778,0.13932,1.8244,2.15807,1.667,0.000511769,0.000511769,0.000511769
142,55734.5,1.59617,1.38355,1.34292,0.41833,0.42318,0.26511,0.13941,1.79953,2.10463,1.67007,0.000503517,0.000503517,0.000503517
143,56128.3,1.59802,1.37653,1.33381,0.41805,0.42639,0.26919,0.14079,1.81471,2.09964,1.6711,0.000495266,0.000495266,0.000495266
144,56525.2,1.59076,1.36799,1.33098,0.41998,0.42907,0.26742,0.13822,1.81247,2.12312,1.6812,0.000487014,0.000487014,0.000487014
145,56920.3,1.58354,1.36683,1.33455,0.41899,0.43302,0.26875,0.1393,1.82444,2.09029,1.67931,0.000478762,0.000478762,0.000478762
